Ref	Traits	MeSH_Term	MeSH_ID	MeSH_Tree	MeSH_Cat	MeSH_Group	MeSH_Anatomy	MeSH_Anatomy_Category	Ref-Category	Note
Kim 2021	Acute coronary syndrome	Acute Coronary Syndrome	D054058	C14.280.647.124	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=EFO_0005672; Phecode=-
Kim 2021	Acute renal failure	Acute Kidney Injury	D058186	C12.777.419.780.050	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=585.1
Kim 2021	Lung adenocarcinoma	Adenocarcinoma of Lung	D000077192	C04.557.470.200.025.022	Disease	Neoplasms	Lung	Respiratory System	Neoplasms	GWAS=EFO_0000571; Phecode=-
Johnson 2015	Adiponectin measurement	Adiponectin	D052242	D06.472.699.042.249	Chemical	Chemical	Serum	Fluids and Secretions	-	GWAS=EFO_0004502; Phecode=-
Kim 2021	Alzheimer's disease	Alzheimer Disease	D000544	C10.228.140.380.100	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=EFO_0000249; Phecode=290.11
Chang 2019	Alzheimer's disease and other dementias	Alzheimer Disease	D000544	C10.228.140.380.100	Disease	Nervous System Diseases	Brain	Nervous System	Neurological disorders	-
Kim 2021	Late-onset Alzheimers disease	Alzheimer Disease	D000544	C10.228.140.380.100	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=EFO_1001870; Phecode=-
Kim 2021	Beta-amyloid 1-42 measurement	Amyloid beta-Peptides	D016229	D12.644.024	Disease	"Amino Acids, Peptides, and Proteins"	Brain	Nervous System	"Amino Acids, Peptides, and Proteins"	GWAS=EFO_0004670; Phecode=-
Johnson 2015	Amyotrophic lateral sclerosis	Amyotrophic Lateral Sclerosis	D000690	C10.228.854.139	Disease	Nervous System Diseases	Brain	Nervous System	-	GWAS=EFO_0000253; Phecode=-
Donertas 2020	Anaemia	Anemia	D000740	C15.378.071	Disease	Hemic and Lymphatic Diseases	Blood Cells	Hemic and Immune Systems	haematology/dermatology	Age-of-onset Cluster=2; -
Kim 2021	Anemia in chronic kidney disease	Anemia	D000740	C15.378.071	Disease	Hemic and Lymphatic Diseases	Blood Cells	Hemic and Immune Systems	Hemic and Lymphatic Diseases	GWAS=-; Phecode=285.21
Kim 2021	Anemia in neoplastic disease	Anemia	D000740	C15.378.071	Disease	Hemic and Lymphatic Diseases	Blood Cells	Hemic and Immune Systems	Hemic and Lymphatic Diseases	GWAS=-; Phecode=285.22
Kim 2021	Anemia of chronic disease	Anemia	D000740	C15.378.071	Disease	Hemic and Lymphatic Diseases	Blood Cells	Hemic and Immune Systems	Hemic and Lymphatic Diseases	GWAS=-; Phecode=285.2
Donertas 2020	Iron deficiency anaemia	Anemia	D000740	C15.378.071	Disease	Hemic and Lymphatic Diseases	Blood Cells	Hemic and Immune Systems	haematology/dermatology	Age-of-onset Cluster=2; -
Kim 2021	Other anemias	Anemia	D000740	C15.378.071	Disease	Hemic and Lymphatic Diseases	Blood Cells	Hemic and Immune Systems	Hemic and Lymphatic Diseases	GWAS=-; Phecode=285
Kim 2021	Aneurysm and dissection of heart	Aneurysm	D000783	C14.907.055	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=411.41
Kim 2021	Aneurysm of artery of lower extremity	Aneurysm	D000783	C14.907.055	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=442.3
Kim 2021	Aneurysm of other specified artery	Aneurysm	D000783	C14.907.055	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=442.8
Kim 2021	Other aneurysm	Aneurysm	D000783	C14.907.055	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=442
Donertas 2020	Angina	Angina Pectoris	D000787	C14.280.647.187	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	cardiovascular	Age-of-onset Cluster=1; -
Kim 2021	Angina pectoris	Angina Pectoris	D000787	C14.280.647.187	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=411.3
Kim 2021	Unstable angina (intermediate coronary syndrome)	"Angina, Unstable"	D000789	C14.280.647.187.150	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=411.1
Kim 2021	Stiffness of joint	Ankle Joint	D000843	A02.835.583.378.062	Anatomy	Anatomy	Joints	Musculoskeletal System	Anatomy	GWAS=-; Phecode=741.2
Chang 2019	Coal worker pneumoconiosis	Anthracosis	D055008	C08.381.483.581.062	Disease	Respiratory Tract Diseases	Lung	Respiratory System	Chronic respiratory diseases	-
Donertas 2020	Anxiety/panic attacks	Anxiety	D001007	F01.470.132	Psychiatry	Psychiatry	Brain	Nervous System	neurology/eye/psychiatry	Age-of-onset Cluster=2; -
Kim 2021	Aortic aneurysm	Aortic Aneurysm	D001014	C14.907.055.239	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=442.1
Kim 2021	Abdominal aortic aneurysm	"Aortic Aneurysm, Abdominal"	D017544	C14.907.055.239.075	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=HP_0002619; Phecode=442.11
Kim 2021	Apnea	Apnea	D001049	C08.618.085	Disease	Respiratory Tract Diseases	Respiratory System	Respiratory System	Respiratory Tract Diseases	GWAS=-; Phecode=513.31
Kim 2021	Abnormal electrocardiogram	"Arrhythmias, Cardiac"	D001145	C14.280.067	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=426.7
Kim 2021	Abnormal heart sounds	"Arrhythmias, Cardiac"	D001145	C14.280.067	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=396
Kim 2021	Atrial fibrillation & flutter	"Arrhythmias, Cardiac"	D001145	C14.280.067	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=427.2
Chang 2019	Atrial fibrillation and flutter	"Arrhythmias, Cardiac"	D001145	C14.280.067	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular diseases	-
Kim 2021	Cardiac arrhythmia NOS	"Arrhythmias, Cardiac"	D001145	C14.280.067	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=427.5
Donertas 2020	Heart arrhythmia	"Arrhythmias, Cardiac"	D001145	C14.280.067	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	cardiovascular	Age-of-onset Cluster=1; -
Kim 2021	Occlusion and stenosis of precerebral arteries	Arterial Occlusive Diseases	D001157	C14.907.137	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=433.1
Kim 2021	Arteritis NOS	Arteritis	D001167	C14.907.940.090	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=446.9
Donertas 2020	Arthritis (nos)	Arthritis	D001168	C05.550.114	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	musculoskeletal/trauma	Age-of-onset Cluster=2; -
Kim 2021	Unspecified monoarthritis	Arthritis	D001168	C05.550.114	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=716.2
Kim 2021	Gouty arthropathy	"Arthritis, Gouty"	D015210	C05.550.114.423.410	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=274.11
Kim 2021	Pyogenic arthritis	"Arthritis, Infectious"	D001170	C01.100	Disease	Infections	Joints	Musculoskeletal System	Infections	GWAS=-; Phecode=711.1
Kim 2021	Psoriatic arthritis	"Arthritis, Psoriatic"	D015535	C05.116.900.853.625.800.424	Disease	Musculoskeletal Diseases	Skin	Integumentary System	Musculoskeletal Diseases	GWAS=EFO_0003778; Phecode=-
Johnson 2015	Rheumatoid arthritis	"Arthritis, Rheumatoid"	D001172	C05.550.114.154	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	-	GWAS=EFO_0000685; Phecode=714.1
Donertas 2020	Rheumatoid arthritis	"Arthritis, Rheumatoid"	D001172	C05.550.114.154	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	musculoskeletal/trauma	Age-of-onset Cluster=2; -
Kim 2021	Rheumatoid arthritis & related inflammatory polyarthropathies	"Arthritis, Rheumatoid"	D001172	C05.550.114.154	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=714
Kim 2021	Unspecified polyarthropathy or polyarthritis	"Arthritis, Rheumatoid"	D001172	C05.550.114.154	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=716.1
Chang 2019	Asbestosis	Asbestosis	D001195	C08.381.483.581.125	Disease	Respiratory Tract Diseases	Lung	Respiratory System	Chronic respiratory diseases	-
Kim 2021	Atherosclerosis	Atherosclerosis	D050197	C14.907.137.126.307	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=440
